Shipment_ID,Date,Zone,Transport_Mode,Shipment_Volume,Distance_km,Delivery_Time_hr,Transportation_Cost,On_Time
SHP0001,2026-02-21,North,Air,81.7,126.0,1.57,996.0,1
SHP0002,2026-01-15,North,Road,59.8,112.8,3.57,348.9,1
SHP0003,2026-03-13,North,Road,64.2,89.3,2.73,348.88,1
SHP0004,2026-03-02,North,Road,114.4,80.1,2.48,363.9,1
SHP0005,2026-01-21,West,Road,36.2,93.4,3.19,232.32,1
SHP0006,2026-03-24,North,Road,81.5,103.6,3.77,386.86,1
SHP0007,2026-03-28,South,Road,102.3,237.8,7.58,621.95,0
SHP0008,2026-03-16,Central,Rail,34.2,198.0,4.91,304.43,1
SHP0009,2026-03-16,North,Road,27.8,220.8,6.14,459.58,1
SHP0010,2026-03-29,Central,Road,60.4,218.6,6.06,524.7,1
SHP0011,2026-01-24,South,Road,18.7,280.6,8.75,556.74,0
SHP0012,2026-01-03,North,Road,79.0,88.0,2.36,339.88,1
SHP0013,2026-01-22,West,Road,95.2,166.5,5.49,497.99,1
SHP0014,2026-02-22,West,Road,31.0,43.2,1.86,153.2,1
SHP0015,2026-01-02,Central,Road,104.1,43.5,2.17,308.2,1
SHP0016,2026-03-29,West,Rail,122.5,156.5,3.35,419.99,1
SHP0017,2026-01-30,Central,Road,83.2,134.9,5.7,386.03,1
SHP0018,2026-02-07,South,Road,126.4,149.4,4.86,535.35,1
SHP0019,2026-01-02,North,Road,58.7,208.4,5.87,513.24,1
SHP0020,2026-03-05,West,Road,51.9,320.0,9.02,724.26,0
SHP0021,2026-03-01,Central,Road,65.1,146.9,4.6,412.32,1
SHP0022,2026-01-21,Central,Rail,39.0,132.6,3.81,232.91,1
SHP0023,2026-02-02,South,Rail,50.8,91.7,2.89,218.55,1
SHP0024,2026-03-17,South,Rail,69.9,239.9,5.33,432.19,1
SHP0025,2026-02-27,West,Road,74.6,97.1,3.85,322.73,1
SHP0026,2026-01-22,South,Road,86.9,123.1,4.03,396.38,1
SHP0027,2026-03-30,Central,Road,18.6,211.2,5.73,442.79,1
SHP0028,2026-02-18,Central,Road,234.0,153.9,4.93,689.13,1
SHP0029,2026-02-28,East,Rail,41.4,148.8,3.62,255.45,1
SHP0030,2026-02-11,West,Road,95.0,82.5,2.56,348.11,1
SHP0031,2026-03-01,West,Road,79.9,178.9,4.89,514.49,1
SHP0032,2026-03-21,North,Road,49.0,443.9,11.22,923.03,0
SHP0033,2026-01-15,Central,Road,90.8,58.6,3.34,294.01,1
SHP0034,2026-03-03,East,Road,41.9,68.1,2.2,213.85,1
SHP0035,2026-03-03,Central,Road,68.5,228.7,7.49,582.82,0
SHP0036,2026-02-16,South,Road,167.3,169.0,4.95,631.41,1
SHP0037,2026-03-03,Central,Rail,54.9,307.3,7.13,453.64,0
SHP0038,2026-02-20,South,Rail,72.0,89.8,2.63,272.36,1
SHP0039,2026-02-24,North,Road,38.0,242.0,7.0,545.27,1
SHP0040,2026-03-05,Central,Road,96.0,178.9,5.16,505.58,1
SHP0041,2026-01-03,North,Road,45.7,77.0,3.07,249.47,1
SHP0042,2026-02-20,South,Road,80.6,97.3,3.57,338.29,1
SHP0043,2026-01-07,Central,Road,111.6,148.1,4.64,538.7,1
SHP0044,2026-01-21,Central,Road,61.0,82.3,3.28,296.41,1
SHP0045,2026-03-14,East,Road,91.5,272.8,7.99,684.95,0
SHP0046,2026-02-08,West,Road,83.0,222.3,6.35,584.75,1
SHP0047,2026-01-18,East,Road,113.6,107.0,3.03,445.54,1
SHP0048,2026-01-04,South,Road,91.8,132.8,3.82,428.6,1
SHP0049,2026-03-30,South,Air,126.0,249.0,2.02,1857.08,1
SHP0050,2026-03-01,West,Rail,60.8,140.9,3.65,308.55,1
SHP0051,2026-01-14,West,Road,33.5,406.4,10.99,820.32,0
SHP0052,2026-01-09,West,Rail,26.1,198.7,3.95,278.68,1
SHP0053,2026-03-31,West,Road,27.8,84.9,2.49,212.32,1
SHP0054,2026-02-22,North,Rail,59.4,70.8,2.7,241.39,1
SHP0055,2026-01-02,East,Rail,75.8,263.8,5.75,456.41,1
SHP0056,2026-03-25,North,Road,47.6,110.7,3.78,304.57,1
SHP0057,2026-03-01,East,Road,16.5,159.6,4.17,346.11,1
SHP0058,2026-03-12,East,Road,48.1,11.0,0.62,151.1,1
SHP0059,2026-02-13,Central,Road,54.7,148.2,5.37,389.47,1
SHP0060,2026-01-08,South,Road,68.9,53.2,2.93,221.8,1
SHP0061,2026-02-16,North,Road,134.3,52.7,1.67,364.04,1
SHP0062,2026-02-04,North,Road,22.9,287.9,7.18,613.9,0
SHP0063,2026-03-19,West,Rail,96.5,119.8,3.13,351.38,1
SHP0064,2026-03-22,West,Air,92.0,115.8,0.92,934.03,1
SHP0065,2026-02-05,North,Road,61.0,428.4,10.73,932.67,0
SHP0066,2026-02-19,North,Road,84.4,252.3,6.34,636.45,1
SHP0067,2026-01-04,West,Road,63.1,342.8,8.95,781.65,0
SHP0068,2026-01-02,North,Road,91.1,293.5,7.37,728.5,0
SHP0069,2026-01-06,Central,Air,43.1,232.1,1.46,1589.53,1
SHP0070,2026-02-23,West,Road,40.3,334.3,9.09,736.69,0
SHP0071,2026-01-04,North,Road,21.5,88.4,2.98,231.6,1
SHP0072,2026-02-23,North,Road,84.6,81.1,3.05,335.18,1
SHP0073,2026-03-04,Central,Road,50.4,52.9,1.92,191.71,1
SHP0074,2026-01-18,South,Road,27.2,39.2,2.14,160.9,1
SHP0075,2026-03-31,South,Rail,40.6,157.6,5.0,297.23,1
SHP0076,2026-02-13,Central,Road,91.0,47.9,2.37,310.76,1
SHP0077,2026-02-03,Central,Road,75.4,66.6,3.36,308.27,1
SHP0078,2026-03-15,Central,Road,41.4,127.9,4.81,345.58,1
SHP0079,2026-03-03,West,Air,131.7,14.4,1.42,324.69,1
SHP0080,2026-01-14,South,Rail,67.0,139.8,3.82,305.06,1
SHP0081,2026-02-17,North,Road,87.7,148.0,4.68,439.82,1
SHP0082,2026-01-15,West,Road,74.6,412.8,11.14,909.09,0
SHP0083,2026-03-13,East,Road,60.0,167.0,5.06,415.71,1
SHP0084,2026-03-19,East,Road,84.8,157.8,4.05,459.42,1
SHP0085,2026-03-28,Central,Air,118.7,334.2,1.43,2399.78,1
SHP0086,2026-03-03,North,Road,59.5,126.3,3.21,353.62,1
SHP0087,2026-02-09,East,Road,99.5,164.6,4.6,490.74,1
SHP0088,2026-03-26,North,Road,47.6,253.6,7.21,569.95,0
SHP0089,2026-03-21,East,Road,155.9,89.6,2.44,466.46,1
SHP0090,2026-03-23,North,Road,44.2,254.6,7.38,523.45,0
SHP0091,2026-02-22,North,Rail,181.6,55.7,1.69,362.21,1
SHP0092,2026-01-24,North,Road,34.3,215.5,5.81,475.11,1
SHP0093,2026-01-26,West,Road,57.8,216.3,5.77,519.04,1
SHP0094,2026-03-30,West,Road,86.9,113.9,2.86,391.15,1
SHP0095,2026-03-01,East,Road,122.6,131.1,4.02,466.3,1
SHP0096,2026-02-10,Central,Road,144.3,353.8,10.59,917.32,0
SHP0097,2026-01-29,South,Road,135.1,137.2,4.44,513.91,1
SHP0098,2026-01-15,South,Rail,85.3,200.4,4.01,387.23,1
SHP0099,2026-02-14,Central,Road,45.7,151.4,5.36,403.45,1
SHP0100,2026-03-06,South,Road,110.2,94.9,2.73,396.35,1
SHP0101,2026-03-30,Central,Road,116.4,99.3,3.22,421.47,1
SHP0102,2026-03-12,North,Road,80.9,184.9,5.2,506.59,1
SHP0103,2026-01-09,Central,Air,52.4,313.7,2.2,2201.0,1
SHP0104,2026-03-29,North,Rail,37.5,58.2,1.5,173.51,1
SHP0105,2026-01-01,Central,Road,47.3,339.0,9.35,716.83,0
SHP0106,2026-01-08,East,Road,46.0,211.8,6.16,509.22,1
SHP0107,2026-03-29,Central,Road,70.8,126.4,4.79,353.4,1
SHP0108,2026-03-04,North,Road,112.8,178.4,5.71,550.03,1
SHP0109,2026-01-11,East,Road,73.5,209.7,6.65,543.15,1
SHP0110,2026-03-22,Central,Road,35.8,69.0,3.41,222.42,1
SHP0111,2026-01-08,East,Road,97.2,133.1,3.87,433.81,1
SHP0112,2026-02-04,West,Road,163.7,147.0,4.89,559.67,1
SHP0113,2026-02-04,West,Rail,73.1,43.7,2.0,193.13,1
SHP0114,2026-02-02,East,Road,48.2,236.0,6.65,543.58,1
SHP0115,2026-01-05,West,Road,40.1,97.9,3.41,259.35,1
SHP0116,2026-02-10,East,Rail,94.3,101.6,2.24,338.93,1
SHP0117,2026-01-28,Central,Road,142.0,139.3,4.25,479.6,1
SHP0118,2026-01-07,North,Road,59.3,190.7,5.4,473.25,1
SHP0119,2026-03-14,South,Road,52.4,182.6,5.61,454.75,1
SHP0120,2026-03-13,Central,Road,72.2,151.0,4.69,438.67,1
SHP0121,2026-01-12,Central,Rail,101.0,178.5,4.84,386.56,1
SHP0122,2026-02-03,East,Rail,46.3,91.3,3.4,234.56,1
SHP0123,2026-02-02,West,Road,77.9,161.2,4.05,432.5,1
SHP0124,2026-02-17,South,Road,89.0,201.7,6.26,539.17,1
SHP0125,2026-01-23,North,Road,92.3,100.4,3.26,383.8,1
SHP0126,2026-03-03,East,Road,38.2,149.1,4.55,387.04,1
SHP0127,2026-03-29,South,Road,42.6,204.3,5.87,449.89,1
SHP0128,2026-02-06,East,Air,72.7,139.2,1.07,1111.0,1
SHP0129,2026-02-13,North,Road,97.8,60.9,2.41,294.73,1
SHP0130,2026-03-27,Central,Air,177.2,310.6,2.0,2331.52,1
